,Track No.,avg_len,len_slope,avg_area,area_slope,avg_chirality,chirality_slope,avg_decay_index,decay_index_slope,avg_barbs,barb_slope,avg_tilt,tilt_slope,avg_xcen,avg_ycen,avg_L_to_W,L_to_W_slope,solar_region,active_region
12,467.0,9.158708795,-6.33168949881,17.2659717155,-0.23107601693,-0.714285714286,-1.32748735946,0.434733785714,-0.581181276848,2.92857142857,-2.22325671655,-11.8549285714,1.78455242438,-169.300701936,579.792785571,0.733110939346,0.386963608025,0.0,1.0
13,523.0,10.4439834283,9.13452484499,18.3480442747,0.33588170964,0.555555555556,0.316506742779,0.5314675,3.36758697549,2.83333333333,3.68238834788,-18.7331624444,-0.141926764903,19.6317765167,623.056616889,1.6891897113,0.23932678124,0.0,1.0
14,563.0,3.42020676667,-11.8562313535,6.96724718377,-0.408678469613,0.0,0.0,0.561201666667,-23.0426778032,1.0,-3.31131470173e-16,-32.0425933333,-1.67697935181,-205.550000667,-747.812317,1.12460425415,-1.61345079919,0.0,1.0
15,699.0,17.077090825,36.3687923503,44.8562184034,0.644580663733,-5.0,-2.22454254445,0.3602095,-47.5845622918,5.0,16.7962274742,2.85295,-0.666567740159,-146.479723025,793.35749825,2.77715930385,1.52513450483,1.0,0.0
16,705.0,3.76700953,-1.63789047384,3.27332683557,0.022446918895,0.0,0.0,0.39670275,18.4195695806,0.75,3.10501673495,53.8922,0.738085042294,506.725112875,226.4305,1.00768752389,0.278138855779,0.0,1.0
17,768.0,10.691122075,36.5202425384,28.4588125098,1.41876324002,-7.5,-1.20889410043,0.71107625,-10.681636084,3.25,22.4152824848,-23.828305,2.24692000758,-612.7817535,521.7387465,2.24550265372,6.37682071296,0.0,1.0
18,783.0,4.99876487,12.4851323819,4.8932285094,-0.103529886795,0.0,0.0,0.353603,-21.1132939895,0.666666666667,5.97293513255,-6.58527233333,0.665171416596,432.801341,463.490997333,1.64878314138,1.02040379202,0.0,0.0
19,965.0,11.25080602,11.7430252052,31.767179988,0.773314608222,1.0,-0.900764927518,0.13587325,0.524903677278,4.7,7.23953731896,-27.82199,0.561643076688,-141.014048,461.2345947,1.52729012855,0.950458676978,0.0,0.0
20,990.0,6.14680523667,-79.9480047048,7.65817167634,-1.04098591468,0.0,23.3994773337,0.111867533333,34.2743142557,2.0,-23.5377316662,-0.154833333333,5.91618976963,305.605662,-500.510335333,1.38006010016,-0.546185433297,0.0,0.0
21,991.0,10.6612352408,13.8136911867,13.2414242097,0.194802424993,-0.833333333333,-0.142698792054,0.730120458333,0.973055476041,2.75,5.06495252185,21.19947,0.0899399993528,220.616917917,-465.449913167,1.63037398545,-0.0600017175971,0.0,0.0
22,1037.0,5.68439987111,7.65421589938,8.52348043677,0.0835304162368,2.22222222222,1.15938876306,0.4859362,-0.97190259972,2.44444444444,2.56546465105,9.79548555556,-0.104660766244,-232.726210167,524.704108444,1.42149469623,2.81127551315,0.0,0.0
23,1058.0,10.655255366,12.4919832518,11.3851919233,0.139185689573,-3.0,0.284349417813,0.24873613,-10.4943853159,2.5,-1.37613141171,-21.45701,-2.40185084716,-294.09396292,222.438498,0.752593299103,0.214186488963,0.0,0.0
24,1082.0,12.1372330285,-2.52076438931,25.6520273713,-0.00803179384531,0.769230769231,1.46266556248,0.676302307692,-15.5767385994,3.76923076923,-1.34718246511,44.1734915385,-0.147667046016,-299.285076092,-461.696540231,0.688154120787,1.01647687834,0.0,1.0
25,1107.0,4.118592504,1.76326677755,3.84229926001,0.0599166195725,0.0,0.0,0.5074682,9.65568106131,1.4,2.56355970092,-1.6007714,-0.52762382231,103.711821,107.35245748,1.1454751246,2.16503888259,0.0,1.0
26,1131.0,4.01814255,-13.3241493776,2.73191479894,-0.0871527894486,0.0,0.0,0.428320133333,-25.6056322395,1.0,9.99645997327,53.3944266667,9.27889854988,-277.818664667,-132.862663333,1.15786471098,-15.4592058925,0.0,0.0
27,1152.0,9.39958187909,10.5836149823,11.9665154073,0.0240715783564,-0.909090909091,2.86187729757,0.5369335,-1.88716345718,2.45454545455,1.55809907565,-11.0694136364,0.487877192793,-240.702109291,256.655094364,0.728089729038,-0.104140884868,0.0,0.0
28,1180.0,2.94185753667,-1.68712298113,2.24365218917,0.0906847823856,-3.33333333333,-3.49079831013,0.197798666667,-17.0105599014,0.333333333333,3.49079831013,17.7177766667,2.39964525227,-78.026662,311.077006,1.42225044607,-3.84422181921,0.0,0.0
29,1182.0,8.323296895,37.638898784,6.08158135629,0.128814824562,2.5,4.15889209339,0.68057725,2.92492872446,1.5,8.75794309938,42.112025,-4.24043970308,-114.487789408,202.49850075,0.598249853156,-0.78746276666,0.0,0.0
