,Track No.,fi_length_avg,length_slp,fi_area_avg,area_slp,fi_chiral_avg,chiral_slp,fi_tilt_avg,tilt_slp,Eruption
0,21.0,4843296920.0,14271.1237467,476.062630057,-0.00216171483177,0.0,0.0,-55.7609,-6.17617259251,1.0
1,93.0,11408650056.0,5635.91761392,4542.13421717,-0.0048660318405,0.0,4.70632929962,-9.283704,-4.48897737967,1.0
2,94.0,22427804814.3,-26760.7848063,5584.92548675,-0.00700773104615,-0.142857142857,-3.25783010825,33.8338142857,-0.721630701714,1.0
3,140.0,12197930882.5,100417.840826,3487.98449924,0.0290198307697,0.25,0.242555443595,17.2803,4.51088448412,1.0
4,175.0,13819535160.0,12941.7091217,5210.93955804,0.00760396740116,0.4,-1.35491419212,-22.19414,-0.169295940441,1.0
5,193.0,6027227850.0,-15484.9827943,938.279559309,-0.00108642012509,0.6,-0.891659945408,-75.91178,0.532080967904,1.0
6,276.0,9279990766.67,35614.3127715,2020.84268889,0.0121276845379,0.333333333333,3.319630343,24.6760666667,-3.9808956331,1.0
7,319.0,12006612466.7,80722.6412148,2685.57003519,0.0277389143292,-0.333333333333,-6.32326895141,-41.3403666667,0.312824990183,1.0
8,404.0,4793072218.0,7984.48403318,653.0318433,0.000728213987844,-0.4,0.174687472886,-41.36904,-0.630676654711,1.0
9,482.0,2941856385.0,-841.784304409,275.097139978,-0.000418643453259,0.0,0.0,83.9117,-0.348871721775,1.0
10,485.0,11014022125.0,172227.408441,1381.70309537,0.0206214426964,0.0,21.7221305066,-45.13158,8.08632809106,1.0
11,489.0,13740633600.0,186255.28065,1330.8559371,0.020035678029,0.0,0.0,17.9486,7.35956642628,1.0
12,496.0,5524949000.0,11486.0071743,646.917921706,0.00201843198293,0.0,0.0,-10.50415,-8.11952817823,1.0
13,509.0,10298602265.3,9608.3780438,1796.63811249,0.00363541588901,-0.0588235294118,-0.388522221333,-19.0422249412,-0.1850989702,1.0
14,516.0,9594341077.14,17294.3180052,2058.94837467,0.00610666825222,-0.571428571429,0.435461497591,-27.3571142857,1.06634027627,1.0
15,558.0,9710521200.0,-15970.6955184,1674.29898664,-0.00350374807363,0.5,3.77462625044,-9.98455333333,0.138338873811,1.0
16,644.0,10762876636.7,19568.4578183,2921.19792207,0.00769843245254,0.0,0.0,10.68155,-0.223350542829,1.0
17,658.0,8861426565.0,-120584.32707,2349.21220048,-0.0378118609424,0.5,-10.8423415121,27.01595,2.80175862779,1.0
18,666.0,23104329475.0,61005.4029668,4984.80483353,0.0174751882871,0.0,-0.208245732099,-51.314675,1.33485467489,1.0
19,717.0,24539377455.0,520596.247106,2367.45334337,0.056505074371,0.0,0.0,-43.99965,6.13110552577,1.0
20,785.0,19373203800.0,-76655.7165903,4373.68573325,-0.0234125356119,0.0,-11.7479191201,-44.7507666667,-1.2769650834,1.0
21,850.0,6362067450.0,-10619.1821921,656.334418001,-0.000256331556589,0.0,0.0,40.8290833333,-0.0831683056046,1.0
22,866.0,8924236641.25,10769.3179394,1549.57007788,0.00323247614824,0.375,-0.239099758642,-7.1005525,0.296341172987,1.0
23,905.0,8383091451.67,37147.83396,1132.40615678,0.00406558228759,0.0,0.0,22.3659833333,0.92617395659,1.0
24,914.0,11085783550.0,361251.870665,798.903622071,0.0231768960402,-0.5,-22.3763705527,-7.6585,9.28802864175,1.0
