,Track No.,avg_len,len_slope,len_stdev,len_skew,avg_area,area_slope,avg_chirality,area_stdev,area_skew,chirality_slope,avg_decay_index,decay_index_slope,avg_barbs,barb_slope,barb_stdev,barb_skew,avg_tilt,tilt_slope,tilt_stdev,tilt_skew,avg_xcen,avg_ycen,avg_L_to_W,L_to_W_slope,L_to_W_stdev,L_to_W_skew,solar_region,active_region
42,1364.0,8531384153.0,20673.6287945,3272962185.38,-0.23793070961,1528.3638792,0.00451503814487,0.0,685.219809135,-0.497647489615,2.21812863744e-06,0.5322216,-4.69351524503e-07,2.9,1.07896387722e-05,1.81383571472,0.0482612582884,47.88413,0.000163074203489,41.8355572716,-2.5943226993,-442.73553161,-450.9774994,0.679637748109,4.52694698752e-07,0.0969260415229,-0.13149423364,0.0,1.0
43,1381.0,10547629352.5,17267.2352448,5307639545.0,0.237603109697,873.05009178,0.00149976545349,0.0,558.190912083,0.277271195315,1.68039278114e-06,0.4961285625,-9.58692693739e-07,2.75,1.19451135284e-05,2.7726341266,0.752124426966,47.50730875,3.35041788786e-05,57.8168327707,-1.58918624599,-213.286985288,165.485750125,0.605378325214,5.56277892236e-07,0.173159401357,1.55635758715,0.0,0.0
44,1396.0,4986810422.5,47189.4646911,2723064691.11,0.0617479745926,519.779731897,0.00342620603036,0.0,378.411907484,0.983706418906,0.0,0.80286175,2.81733007341e-06,1.25,-3.10361907809e-06,1.08972473589,0.652023664685,5.1703525,8.81429394454e-05,7.32197683089,-0.227843887974,-699.71400475,-239.57324975,1.68603973524,7.47588285671e-06,0.371042645411,0.242083334282,0.0,1.0
45,1416.0,7103499870.0,31276.5248534,3878630938.01,0.39697575552,582.726446995,0.00309214616003,0.4,322.716156018,0.409989116454,4.99401401963e-06,0.429263,-1.27465445984e-06,1.2,6.24987825857e-06,0.748331477355,-0.343621596745,48.41422,-7.91896904538e-05,7.52642976488,-0.401607736391,-366.837004,-319.457202,0.941387567707,1.58602748519e-06,0.139494281218,0.242845815636,0.0,0.0
46,1464.0,6589278000.0,-6410.28981198,2745543401.98,-0.0242820988169,612.920728256,-0.00010191172894,-0.166666666667,321.197707413,0.381815811293,1.90080806095e-06,0.334589,-8.7647656838e-07,1.16666666667,5.39746164474e-06,1.34370962472,1.34339158694,-42.7431216667,0.000207880474026,25.5223151897,0.277839672577,-689.447001,298.11733,1.07435503923,4.69989740165e-06,0.545113503048,1.11131590453,0.0,1.0
47,1520.0,5166184414.29,-2983.08381131,2542335447.6,1.25419585565,506.206852637,5.32433497445e-05,-0.142857142857,221.816170886,0.235125786054,-2.67784339878e-07,0.436197714286,-7.21344641991e-07,1.85714285714,-2.17041966115e-06,1.45686271817,-0.0282859810295,-13.3770042857,0.000140991450856,28.7997873166,-1.42049025146,-176.565938603,-89.7237843429,1.41942442,1.54618474621e-06,0.230106479199,-0.765586604817,0.0,0.0
48,1521.0,9543092540.0,7631.57602701,5872667479.79,0.642280846208,1066.6094876,0.00143900839903,0.0,543.749841117,0.183734253092,3.50725892679e-06,0.1233719,-5.66327101764e-07,3.4,7.7251427103e-06,1.74355957742,0.0543353053904,14.32278,-0.000130832118052,14.1861121926,-0.993287746198,-475.834198,-532.888794,1.69406460944,5.89750298432e-06,0.528492151678,0.612049139609,0.0,1.0
49,1537.0,18182095040.0,-11310.5423157,6688742001.45,-0.347067339145,2353.31215914,-0.000737508716573,-0.4,1022.16272018,-0.112789162082,-2.3612278896e-06,0.3499174,-1.92960748924e-06,2.8,-4.15703097835e-06,2.03960780544,-0.15274429756,-23.607658,-0.000246218960857,19.8014475168,0.371806392398,279.6537964,280.6399996,1.60489006366,-7.361519127e-06,0.575389724194,0.745359365034,0.0,1.0
50,1538.0,5639746520.0,15706.7220601,2078888216.08,-0.449677262812,1304.00545689,0.00245189107768,0.2,785.805818309,0.121257127666,2.31357508258e-06,0.339358692,1.53685841384e-06,1.8,8.76084813913e-06,1.16619037897,-0.363173474419,-35.96624,0.000151374263553,18.3628268563,-1.24611211182,-63.68913844,-814.8445924,1.33461177385,2.46400652419e-06,0.34251152491,-0.622833815116,1.0,0.0
51,1602.0,10978146095.0,-8347.58779143,6071619489.95,0.330654974497,965.276282694,0.000153929193597,0.166666666667,424.070845652,0.481433097566,-1.52433573394e-06,0.468381833333,-1.76233656302e-06,2.33333333333,-7.62227604311e-06,1.97202659437,0.705100121088,-46.1606333333,-0.000226418300488,46.0932466656,1.50903949199,67.4721958467,158.821165833,0.712396499019,4.22948758771e-08,0.13885169463,-0.435682825374,0.0,0.0
52,1615.0,3751634880.0,5136.53963657,1028209965.2,-0.668807536831,592.176530847,0.00133427209681,0.0,251.584037289,-0.0945452114708,4.64260906027e-06,0.693145,-2.2309870247e-06,1.85714285714,2.18960887183e-06,0.832993127835,0.272380105815,11.9677928571,-6.15096762518e-05,31.4670568563,0.45710046527,-310.4886142,-584.103576429,1.23621085287,3.13132407622e-07,0.162415165095,-0.632476058204,0.0,1.0
53,1712.0,3932043598.0,11337.2419764,2610220687.93,1.44229497277,358.635657528,0.000294128624719,-0.2,170.664126757,0.81808217131,-2.21784082429e-06,0.4975444,-2.34178562504e-07,1.4,-1.79189520239e-06,0.8,-0.84375,-17.460912,-9.77224394299e-05,54.1526214296,0.735122368307,8.17211688,-231.2017976,0.994668659521,9.53333655417e-07,0.279597970954,0.601421787414,0.0,0.0
54,1715.0,4520411651.43,6787.71957461,2326628573.65,0.676618253545,491.746903178,0.00089212518822,0.0,293.71826052,0.702408568468,2.67465612675e-07,0.239548,-2.41257754054e-06,1.85714285714,5.44462354715e-06,1.45686271817,-0.0282859810295,-21.1341471429,0.000190828719104,31.0528123811,-0.531905708211,-538.665281143,309.298427286,1.33289980774,2.42780659511e-06,0.484228701167,0.232156964205,0.0,1.0
55,1776.0,10332356380.0,-26806.5892212,2378036809.27,1.18650956492,1183.89504095,0.00278105519011,-0.2,288.847639148,-0.599297404456,-4.60542859464e-06,0.37447396,-3.3757140105e-06,1.6,-4.42701886424e-06,1.62480768093,0.380464608482,44.41252,-0.000706473059249,65.4692779997,-1.48024645821,-394.298996,107.62510052,0.459202783402,-9.96010275971e-07,0.0742774326002,0.50286378154,0.0,1.0
56,1818.0,9356535446.0,18205.9335816,3229223245.55,-0.485316114249,1251.24064069,0.00245301549266,-0.2,650.361483118,0.405243750594,1.00785181657e-06,0.3825952,5.20883155248e-07,2.8,-9.62508403691e-07,0.979795897113,0.408248290464,-5.698644,3.63942491531e-05,34.4636466094,-0.34312753979,-117.9408054,-107.84018096,1.32045455044,3.43728926581e-07,0.095573102803,0.272427793764,0.0,1.0
57,1838.0,5507011332.5,-6429.59302289,906718329.633,-0.799317959116,854.473266671,-0.000883358192084,-0.75,221.849039803,0.1973361013,-4.28865160377e-06,0.568313,5.34195320083e-06,2.25,1.89902523878e-06,0.433012701892,1.15470053838,-11.3972825,-1.43008479879e-05,4.84357169884,-0.248886514542,-545.31824475,315.36875175,1.60161565974,-2.91158057946e-06,0.26461624319,-0.671381783999,0.0,0.0
58,1898.0,8143913441.67,23160.2248652,4507054911.59,-0.0681817928412,1099.53010556,0.00355546662101,0.0,795.628081064,0.417573924174,4.48212288928e-07,0.303915,9.41609961002e-07,1.33333333333,2.29255360699e-06,0.7453559925,-0.6260990337,23.60445,7.76964469834e-05,14.8748320702,-0.131727927799,-86.4743605183,-570.9218445,1.21031021178,-8.71274273463e-08,0.127201627045,0.00379080142938,0.0,1.0
59,1905.0,3121237548.33,-3220.62489061,906422030.679,1.36808326141,488.486306824,-0.00163990671164,-0.166666666667,320.139102872,1.31712997834,-4.41093387136e-07,0.0445831,1.21404290272e-06,1.0,2.69750936732e-06,0.57735026919,0.0,19.4316933333,0.000256039044338,50.3329928642,-0.90633307864,-341.1976635,328.5474905,1.07210118552,-2.83010979199e-06,0.229357755541,0.0407843358088,0.0,1.0
60,1908.0,14175111871.1,40757.5513561,7761230972.36,-0.0756283268566,2218.48266592,0.0129010701422,0.222222222222,1783.09909137,0.7430289488,5.18913276829e-06,0.314943555556,-5.21104085334e-07,5.22222222222,1.57075319826e-05,2.97313070228,0.417979065835,11.1088477778,0.000147488013708,42.2789080609,-0.890818711112,-442.637841056,-536.501332556,1.26457427858,2.95661535821e-06,0.539015383357,0.0192356638472,0.0,0.0
61,1919.0,13866181867.5,66097.3700179,8105721438.18,-0.0384149686971,3306.45042377,0.0155126506106,0.0,1953.58902003,-0.155354082263,3.52779078548e-06,0.547717875,9.01134166579e-07,5.625,1.94886141107e-05,2.49687304443,-0.341028055591,-9.39689875,0.000210683184017,31.318856548,-0.90814213128,-724.4325065,-20.8216726987,2.19041994,1.03120843923e-05,1.07460146061,0.19259216077,0.0,1.0
62,1927.0,7049700420.0,37315.2295026,1906774563.23,-0.458554065917,1604.88667253,0.0142845030707,-0.25,723.59268142,-0.780517981686,-1.37113685376e-05,0.19005525,4.9438675906e-06,3.0,1.79189543058e-05,1.22474487139,0.816496580928,-65.677025,0.000181631086374,13.0235079829,1.13705711433,315.1259955,22.6479249,0.842975041463,2.19349725706e-06,0.124154608793,-1.08409710704,0.0,1.0
