,Track No.,avg_len,len_slope,len_stdev,len_skew,avg_area,area_slope,avg_chirality,avg_decay_index,decay_index_slope,area_stdev,area_skew,chirality_slope,avg_barbs,barb_slope,barb_stdev,barb_skew,avg_tilt,tilt_slope,tilt_stdev,tilt_skew,avg_xcen,avg_ycen,avg_L_to_W,L_to_W_slope,L_to_W_stdev,L_to_W_skew,solar_region,active_region
44,1710.0,3994225750.0,-54671.8326328,2097937293.23,0.704626084274,500.599519049,-0.00740910953582,0.0,-0.0427106666667,-5.83322323728e-06,297.926685043,0.691190082178,0.0,1.33333333333,1.07678739898e-05,0.471404520791,0.707106781187,-38.83643,0.000816825948934,36.0479036292,-0.561951522456,799.870666333,76.5488993333,0.875723449214,5.64628165635e-06,0.223426056737,-0.70209883349,0.0,1.0
45,1764.0,17667082558.9,29812.0076179,10956879451.5,0.188013402026,2234.67055982,0.00543111900709,-0.333333333333,0.899940044444,-1.78622698933e-06,1747.46433182,0.644305008261,-1.09764386999e-06,4.66666666667,1.23822371365e-05,3.88730126323,0.422441367814,-33.5428666667,0.000165472750445,26.0468154166,-0.610266836014,-600.622612222,289.342781778,1.16154177931,2.96640472503e-06,0.468661764021,-0.325827984194,0.0,0.0
46,1825.0,5620619996.67,-23497.8331762,2268135665.45,0.93035630315,800.998304061,-0.00203396682632,-0.5,0.3962015,1.63943619257e-06,223.385195328,-0.737524945779,-2.1402789039e-06,1.33333333333,-1.2661656351e-06,0.7453559925,-0.6260990337,25.0239366667,9.5368167161e-05,14.9513454213,-0.475153886079,589.532002667,415.295501667,1.46403362977,-4.18764278249e-06,0.408241479804,1.02408058278,0.0,0.0
47,1866.0,6529482173.33,35593.3597481,2780807507.78,-0.402893078522,1113.69929505,0.0127893122193,-0.333333333333,0.203549,-8.49066029954e-07,832.961882629,0.418887604692,-6.01530688359e-06,2.66666666667,1.58077470671e-05,1.24721912892,-0.381801774161,-21.9436333333,0.000127510090316,7.93052948898,0.131501026084,286.875328333,407.263661667,1.42441381542,1.12689928052e-06,0.107319215006,-0.00819361716867,0.0,0.0
48,1934.0,5565948804.29,-4915.42940344,1362950807.6,0.0419972913452,410.276229162,-0.000403257797494,0.0,0.362593714286,1.18187982991e-06,134.14954651,-0.130475894912,0.0,1.0,4.53046989976e-06,1.06904496765,0.70156076002,-25.2816714286,-0.000208740135279,69.7880003057,0.862294722279,-570.598425429,358.800715857,0.54733722004,1.3314387549e-06,0.221609630782,1.10567533992,0.0,0.0
49,2021.0,20557106405.8,-11825.272756,16746123486.8,1.07016402139,3525.29379685,-0.00359578179351,0.166666666667,0.351300491667,3.6663882958e-07,3709.78798215,1.657176591,-1.84591554408e-06,3.75,-4.45324733047e-06,2.64968551593,1.66807769415,13.9864633333,-7.38581092176e-06,19.2227200211,-0.312060411863,168.966408467,-339.2563335,1.57649413823,-5.61761277615e-08,0.384961056037,0.134714602128,0.0,0.0
50,2098.0,15510509216.7,15861.3051119,8808081372.76,0.078181577242,2429.898823,0.00260017955891,0.0833333333333,0.24999795,-1.75153217001e-07,1465.9469314,0.803185860885,-1.46014465704e-06,4.5,6.39888060743e-06,2.81365716936,0.336703572621,-1.31650708333,0.00014496724139,45.4472815665,-0.0905791446359,-45.983474675,-457.293914833,1.24576156115,8.40889742589e-07,0.465588338488,-0.0391323114662,0.0,0.0
51,2101.0,6787801180.0,11368.997598,1303929918.7,0.888191246554,757.018611866,0.00389446503905,0.4,0.37834128,5.28884559621e-06,263.649059894,0.883660858441,-2.41234015908e-06,2.2,2.869616265e-07,0.979795897113,0.867527617236,81.72154,8.47565204969e-06,4.76183380416,0.175021630352,491.2293886,-470.1113952,0.550944115714,7.3016246232e-07,0.0804221420346,0.0135827879859,0.0,0.0
52,2138.0,6998266562.0,-8409.07357732,4823200600.49,1.34251888614,910.546258074,-0.00108086778869,-0.333333333333,0.487671213333,-1.48944119086e-06,679.655845648,1.00595044599,1.77343024969e-07,2.53333333333,-4.28421874797e-06,1.8208667045,1.17219218415,13.41561,9.45801844871e-05,52.9381750213,-0.294907600944,114.911433867,269.466128467,1.16156994757,-9.44717263228e-07,0.338074342945,0.872745378782,0.0,1.0
53,2158.0,6912162691.67,18748.3477247,3931276570.25,0.842412880401,739.209953823,0.000967447949472,0.166666666667,0.784113666667,2.6455581684e-07,274.134460556,0.98371354056,-2.57686890628e-06,2.0,2.1421320154e-06,1.41421356237,1.41421356237,23.6363316667,0.000138931446401,50.9567415061,-0.632273466361,428.649831167,-500.540827333,1.05713286815,2.45461666173e-06,0.32792006926,0.111257134466,0.0,0.0
54,2226.0,10179297866.7,-9283.0833982,9852518184.71,1.47147857786,1705.48501496,-0.002587271258,0.0,0.6306998,-1.00458915174e-06,2360.9561513,1.80790573343,-5.41209129011e-07,3.2,-9.83876456645e-07,2.4819347292,1.05280246988,24.8132453333,1.87801251743e-05,28.5475321098,0.339623757785,37.20696822,-262.214199867,1.38862937972,2.60274763824e-07,0.488145029557,0.568487909204,0.0,0.0
55,2251.0,9994114507.14,-10387.0080463,5210949290.62,0.0906540224751,1043.81120639,0.00125062078771,0.0,0.669571885714,1.68670993947e-06,537.475968915,0.30961086301,-1.61810117661e-06,2.71428571429,5.79048129799e-06,1.57790871674,0.912778423216,-67.8880428571,-2.13722486842e-05,14.0651133405,0.630044906952,227.694003686,283.981573857,0.748348071648,3.37722024091e-07,0.207518732215,1.38195492498,0.0,0.0
56,2276.0,8054228750.0,467.469908799,2343445197.04,0.490864545984,1219.89090513,-0.00489869497992,-0.25,0.8564675,1.36621426807e-06,418.90157495,0.0149353393058,9.21305247427e-06,2.5,-2.95329323472e-06,0.5,0.0,-34.0008,2.40733839401e-05,11.047141383,0.0357732661483,672.559242,111.80224975,1.0335785768,-6.32473642204e-07,0.158620808443,0.449848859398,0.0,0.0
57,2309.0,5819934250.0,9914.37742177,1809674946.69,-0.308287805922,660.839135798,0.00131719186329,0.111111111111,0.552964033333,2.03896628362e-07,289.244765117,0.153866719084,-1.93705489158e-07,1.66666666667,3.55372382508e-06,1.6996731712,1.61418665075,22.4537888889,5.1692263242e-05,14.5150427209,-1.4913273519,375.368672667,-576.451456667,1.44804699843,2.52086527667e-07,0.224733067631,0.196054463382,0.0,0.0
58,2405.0,3946389562.0,9941.89921508,1592196232.91,0.722544294134,466.914963475,0.000633945240953,0.4,0.31883048,1.04141175303e-06,104.460033291,0.0669713561702,2.85307869337e-06,1.6,-7.93868816149e-07,0.489897948557,-0.408248290464,-11.7322472,0.00052433866494,51.4113588975,0.445778344109,336.1176742,399.068402,1.01637857331,-3.36117985477e-07,0.413188821779,0.532162966521,0.0,0.0
59,2421.0,3820824322.5,-6314.28796981,1076737263.36,1.09310657037,336.933413492,-0.000548212006097,0.0,0.65946725,-2.42493421221e-06,114.971556963,0.964268728768,0.0,0.0,0.0,0.0,0.0,56.232975,8.86839632644e-06,1.81039553189,0.911912184118,-277.740052375,165.77800375,0.794530632278,-7.5772512964e-08,0.0461709630119,0.692807248537,0.0,0.0
60,2460.0,7166286690.0,-13003.6343247,5650768482.14,1.35234547452,742.400857318,-0.000784337679065,-0.125,0.4488485,1.43841453009e-06,486.127406885,0.887339847655,1.60979700347e-07,2.125,-3.49600226646e-06,1.45236875483,0.516397779494,-34.5872625,-0.000177169921029,49.233206008,1.31106670606,285.53130245,112.8612261,0.874309573926,-9.12542627107e-07,0.228000093346,0.35804435821,0.0,1.0
61,2473.0,7058658820.0,-6155.20306032,3261967223.49,0.3383819191,803.049949698,0.000728912817809,0.0,0.234192375,1.19542168949e-06,519.529625475,0.813333115281,2.27309411643e-06,2.375,-2.667190095e-06,1.49478259289,0.466658128661,-8.01786875,0.000124780694518,53.0376935865,0.393418358661,-219.450472737,463.305248125,1.29905097731,1.83130985122e-06,0.378153940695,0.461767026898,0.0,0.0
62,2591.0,13058978550.0,-19071.9808623,1972878606.3,-0.49877082072,7398.68603303,-0.0211966476664,0.25,0.47078725,3.43757663495e-06,2302.07244308,0.162329369434,-1.29843916938e-05,5.0,-5.27269921007e-07,1.0,0.0,24.26329825,-0.000203778121895,18.9763174013,-0.0221739842039,-84.8331252,-847.22500625,1.00740768009,1.10912256579e-06,0.072720082949,-0.0426862011013,1.0,1.0
63,2635.0,2834226880.0,-4920.34109316,851256764.422,0.801729992677,415.089884168,-0.00138717189151,0.25,0.77698775,-4.17510905523e-07,274.31494034,1.1025913461,-2.27222721628e-06,1.5,-2.48535773763e-07,0.5,0.0,-28.15645,0.000299399199268,59.2557803392,1.13068552191,137.29079695,-890.119751,0.92838871608,-6.27867690309e-07,0.12621187431,0.899350566797,1.0,1.0
64,2802.0,13497448431.1,-14790.7364224,10489100606.3,1.89099256109,2058.24715652,0.00175713628206,-0.111111111111,0.467544622222,4.10031062385e-07,1756.97651648,0.940947369732,-2.69461474354e-06,3.44444444444,7.54938485517e-06,2.06080411011,0.383997520855,29.6052055556,6.35956152828e-05,29.5405511135,0.166478514458,179.806466822,-519.990783778,1.63363716538,-2.56204949114e-06,0.90730016855,0.497340204492,0.0,1.0
65,2921.0,9973599041.25,-10103.2793521,3940018169.66,-0.0602152482099,1172.87074314,-0.00146450094388,0.25,0.5342626375,-5.00778832348e-07,458.452642441,-0.290746020176,4.35643310693e-07,4.125,-2.04654175064e-06,1.61535599792,0.508777191211,-2.56419375,-7.88028420909e-06,11.2639401749,-0.64972281778,255.496538988,-39.7838998,2.09028476689,-2.24074910402e-06,0.622361920609,-0.390334428943,0.0,0.0
