,Track No.,fi_length_avg,length_slp,fi_area_avg,area_slp,fi_chiral_avg,chiral_slp,fi_tilt_avg,tilt_slp
57,1614.0,6565362895.0,-24393.383584579067,939.7358865947315,-0.00085528271568517786,0.5,2.3701410040127571,17.711905,0.27082091457414542
58,1626.0,4879175838.0,-8748.6899596677868,726.3261199124796,-0.0016829618947747107,0.4,-2.9918044738084131,-0.6445459999999997,1.2004156615756791
59,1655.0,6529482173.333333,35593.359748130679,1113.6992950487545,0.012789312219337065,0.3333333333333333,6.0153068835876455,-21.943633333333334,1.2751009031614309
60,1728.0,13417736443.333334,97587.568200183392,2294.044584689988,0.021674873673146338,-0.6666666666666666,-5.8072914405356322,-47.623799999999996,3.6421195904227801
61,1777.0,8347215281.666667,68417.190578491252,460.28944691770874,0.0030387563576774329,0.0,0.0,-16.15705,-1.6010248144793389
62,1788.0,26292199028.57143,226330.41129322699,6321.705715154497,0.047777092379632138,0.5714285714285714,1.4084107967263721,-15.909542857142855,2.6866661908947478
63,1800.0,19767815520.0,666555.81214734586,3571.7831096277796,0.1251892187091653,1.0,2.2630291576574777e-15,15.920750000000002,1.9196112505631686
64,1869.0,8442904566.666667,-32612.107459223855,1181.960170361303,-0.0076144109259138667,0.0,-8.99078999430564,-27.941099999999995,-0.28061288036775567
65,1870.0,10715038400.0,-13726.462812140744,979.0557862718473,-0.00027100537226183664,-0.3333333333333333,2.6951230642161264,-59.34963333333334,0.88291568218666061
66,1882.0,6206604400.0,-4114.2316483755185,636.2025285035081,0.0021975655813816562,0.5,-0.20169864813304758,82.1774,0.37905230522512406
67,1891.0,17232570958.333332,15801.04253252086,2723.980725014964,0.0029207641420143154,0.08333333333333333,-1.3190866326614159,-1.9513987499999992,1.9413986710617532
68,1903.0,4412786165.0,17290.141514600564,608.9912460552924,0.002774776762473819,0.0,0.0,58.560950000000005,-1.4070625862559936
69,1909.0,7995288138.571428,-6249.2411936852814,862.4349641182871,0.00019118306234104391,0.0,1.2675980968107532,3.60924285714286,2.0602810878807971
70,1916.0,5264845025.0,11708.342771189235,686.8130940296486,0.0037633537042488624,-0.25,-0.76192457960866589,52.06255,-0.84272827621740676
71,1939.0,3515875455.0,17368.776042086916,296.97026481247843,0.0020974523642018168,0.0,0.0,34.457665,-6.1050454274049102
72,2017.0,22410740840.0,210464.63054535785,4974.199953016512,0.053682118760842765,-0.3333333333333333,1.8378373872632097,11.066533333333334,2.8318764772692293
73,2027.0,2439584510.0,Na,133.05450639489888,Na,0.0,Na,-46.6157,Na
74,2038.0,5094434800.0,-17241.953021746958,676.2248314571625,-0.0019251450347522357,-1.0,-1.4986398991035665e-15,-57.78404999999999,2.6159287516520462
75,2103.0,5512991678.333333,9750.6886964025798,587.9756452972904,0.0015911800155932619,0.16666666666666666,-0.69351596335243493,26.010733333333334,-0.91251352648801354
76,2130.0,8628257987.5,11968.367268379985,1086.2108286740436,0.0042754501268637089,0.25,0.4794202199326128,-61.935975,0.046336860840924851
77,2177.0,6027199770.0,-110000.2245289046,1282.3630020405583,-0.032717392395076803,0.0,0.0,-15.08129,-4.3822452890450352
78,2211.0,11358428424.0,3382.4765440628216,1123.1337464847797,0.00097216484875446577,0.0,0.26606663609864734,-64.55722,-0.011798383140063181
79,2236.0,5716282870.0,-19058.216180411546,383.65298237800886,-0.00086074853228644587,0.0,0.0,18.958740000000002,1.4761332939569081
80,2338.0,10135059900.0,26594.743700631123,5215.473439059642,0.020099519871784353,0.125,-0.93886185897297136,15.723474125000003,1.8794451664420531
81,2412.0,2923916927.5,-8254.7304731163531,546.0680635877104,-0.0034892424771791677,0.0,0.0,12.14575,-0.43553821022941935
82,2541.0,16180201085.0,170137.18945544711,2219.3535520223268,0.02667397741500974,-0.5,-6.7941706016238035,16.280955000000002,3.2222502293032571
83,2671.0,7447907130.0,20283.371001577521,918.145831044465,0.0024564549043414375,0.0,0.0,6.3096879999999995,-0.57025259775885573
84,2702.0,8789683200.0,43434.540969002046,819.8941152096188,0.0020788943438365122,0.0,22.843045434817391,42.68025,3.2694451424263931
85,2723.0,23821852333.333332,142132.73517087509,6040.277987675698,0.060702637317803822,0.6666666666666666,4.0931096786553933,-22.35121,4.205181204437519
86,2863.0,5668451780.0,-7557.577000679461,880.7590539208436,0.00039130473039676616,0.0,0.0,-73.03405,0.28392064827354779
87,2881.0,8610302907.5,42383.407981659126,2213.3885573696202,0.0070119893850828004,0.75,1.7512771415486676,10.802525000000003,-3.6215307528247842
88,2902.0,4635222228.0,9986.5398188143081,589.9475809410694,0.0024472863982669068,0.4,0.7674499674706512,44.895419999999994,-0.58054717447761428
89,3016.0,13489454100.0,Na,4630.621072284774,Na,-1.0,Na,-53.1362,Na
90,3054.0,11293852360.0,20374.129050707113,2264.395168998318,0.0055122425883966895,0.0,0.85444489373575772,9.522002,-0.82666887185577453
91,3062.0,13274251300.0,Na,3849.823890104313,Na,1.0,Na,-89.259,Na
92,3127.0,9399584266.666666,37910.163818424917,3538.5240754213955,0.020059968789442339,0.6666666666666666,4.2103072874206067,-39.3352,-1.0514116746784654
93,3134.0,12377316350.0,-7426.0692066193651,2472.3485689452555,0.020437225819424931,0.5,11.499936750347869,18.511649999999996,-15.925284910932987
94,3185.0,10308455733.333334,60695.369791213801,3783.378586689956,0.022995705128730323,0.0,-5.4110408816351443,52.498333333333335,-1.9802803539680467
95,3226.0,13967838733.333334,77581.368092557925,2748.1161337941826,0.022013401810923445,-0.6666666666666666,-5.8775493777441925,-76.7113,0.16483745936320079
96,3227.0,20018968550.0,350602.06480229599,5203.8736497518075,0.10127813677486612,0.5,11.859863848763013,-7.726485,3.4977383239640409
97,3233.0,7498143607.5,-30094.232714035144,586.051867160735,-0.0019634079729036525,0.25,1.8682981114303729,45.075275000000005,-5.50318100378668
